"milestone","state","open.issues","closed.issues","created.time","updated.time","closed.time","due.time","totalIssues","issueZscore","hasOpenIssueAMC","abnormalIssueNumber","noDueTime"
1588944," closed",0,8," 2016-02-17T17:01:50Z"," 2016-04-24T00:48:23Z"," 2016-04-24T00:48:23Z"," None",8,-0.498225896239436,0,0,1
1588946," closed",0,8," 2016-02-17T17:02:04Z"," 2016-04-24T00:48:26Z"," 2016-04-24T00:48:26Z"," None",8,-0.498225896239436,0,0,1
1558869," closed",0,9," 2016-02-02T15:06:17Z"," 2016-04-24T01:08:17Z"," 2016-04-24T01:08:17Z"," 2016-02-01T05:00:00Z",9,-0.377964473009227,0,0,0
1588943," closed",0,0," 2016-02-17T17:01:22Z"," 2016-04-24T01:08:19Z"," 2016-04-24T01:08:19Z"," 2016-02-25T05:00:00Z",0,-1.46031728208111,0,0,0
1558872," closed",0,17," 2016-02-02T15:07:25Z"," 2016-04-24T01:08:22Z"," 2016-04-24T01:08:22Z"," 2016-03-01T05:00:00Z",17,0.584126912832442,0,0,0
1558875," closed",0,25," 2016-02-02T15:07:32Z"," 2016-04-24T01:08:24Z"," 2016-04-24T01:08:24Z"," 2016-04-01T04:00:00Z",25,1.54621829867411,0,1,0
1558878," open",1,17," 2016-02-02T15:07:45Z"," 2016-04-26T17:38:54Z"," None"," 2016-05-01T04:00:00Z",18,0.704388336062651,1,0,0
