"milestone","state","open.issues","closed.issues","created.time","updated.time","closed.time","due.time","totalIssues","issueZscore","hasOpenIssueAMC","abnormalIssueNumber","noDueTime"
1564280," closed",0,22," 2016-02-04T19:40:41Z"," 2016-03-02T03:45:27Z"," 2016-03-02T03:45:27Z"," None",22,2.56732120955558,0,1,1
1513803," closed",0,5," 2016-01-18T23:03:50Z"," 2016-02-04T19:41:45Z"," 2016-02-04T19:41:45Z"," 2016-02-01T05:00:00Z",5,-0.0867338246471479,0,0,0
1594446," closed",0,5," 2016-02-20T05:31:38Z"," 2016-02-29T07:58:14Z"," 2016-02-29T07:56:55Z"," 2016-02-28T05:00:00Z",5,-0.0867338246471479,0,0,0
1611066," closed",0,3," 2016-02-29T07:58:53Z"," 2016-03-02T03:45:24Z"," 2016-03-02T03:45:24Z"," 2016-03-01T05:00:00Z",3,-0.398975593376881,0,0,0
1611076," closed",0,3," 2016-02-29T08:05:36Z"," 2016-04-03T19:46:22Z"," 2016-04-03T19:46:22Z"," 2016-03-10T05:00:00Z",3,-0.398975593376881,0,0,0
1611075," closed",0,2," 2016-02-29T08:04:31Z"," 2016-04-03T19:45:09Z"," 2016-04-03T19:45:09Z"," 2016-04-03T04:00:00Z",2,-0.555096477741747,0,0,0
1611081," closed",0,0," 2016-02-29T08:08:42Z"," 2016-04-05T18:15:52Z"," 2016-04-05T18:15:52Z"," 2016-04-04T04:00:00Z",0,-0.86733824647148,0,0,0
1680494," closed",0,5," 2016-04-03T19:46:19Z"," 2016-04-08T02:36:58Z"," 2016-04-08T02:36:58Z"," 2016-04-07T04:00:00Z",5,-0.0867338246471479,0,0,0
1564281," closed",0,5," 2016-02-04T19:40:46Z"," 2016-04-08T02:37:12Z"," 2016-04-08T02:37:12Z"," 2016-04-07T04:00:00Z",5,-0.0867338246471479,0,0,0
