"","X","milestone","state","open.issues","closed.issues","created.time","updated.time","closed.time","due.time","totalIssues","issueZscore","hasOpenIssueAMC","abnormalIssueNumber","noDueTime"
"1",108,1539515," closed",0,4," 2016-01-24T19:39:30Z"," 2016-02-16T14:45:57Z"," 2016-02-01T22:12:47Z"," 2016-02-01T05:00:00Z",4,-0.439657786320412,0,0,0
"2",109,1539516," closed",3,10," 2016-01-24T19:40:01Z"," 2016-04-18T21:41:35Z"," 2016-03-15T03:05:16Z"," 2016-03-01T05:00:00Z",13,1.14311024443307,1,0,0
"3",110,1539517," open",0,9," 2016-01-24T19:40:42Z"," 2016-04-19T02:37:34Z"," None"," 2016-04-07T04:00:00Z",9,0.439657786320412,0,0,0
"4",111,1539518," open",0,0," 2016-01-24T19:41:30Z"," 2016-01-24T19:41:30Z"," None"," 2016-05-01T04:00:00Z",0,-1.14311024443307,0,0,0
