"","X","milestone","state","open.issues","closed.issues","created.time","updated.time","closed.time","due.time","totalIssues","issueZscore","hasOpenIssueAMC","abnormalIssueNumber","noDueTime"
"1",66,1616971," closed",0,14," 2016-03-02T04:36:16Z"," 2016-04-07T18:30:12Z"," 2016-04-07T18:30:12Z"," None",14,0.139090513947965,0,0,1
"2",67,1576386," closed",0,9," 2016-02-10T20:11:11Z"," 2016-03-02T04:35:51Z"," 2016-03-02T04:35:51Z"," 2016-02-28T05:00:00Z",9,-0.266590151733599,0,0,0
"3",68,1573893," closed",0,39," 2016-02-10T00:13:54Z"," 2016-03-02T04:37:26Z"," 2016-03-02T04:37:26Z"," 2016-02-29T05:00:00Z",39,2.16749384235579,0,1,0
"4",69,1573934," closed",0,8," 2016-02-10T00:46:16Z"," 2016-03-02T04:47:37Z"," 2016-03-02T04:47:37Z"," 2016-02-29T05:00:00Z",8,-0.347726284869912,0,0,0
"5",70,1616609," closed",0,3," 2016-03-01T22:58:21Z"," 2016-03-02T04:36:57Z"," 2016-03-02T04:36:57Z"," 2016-03-01T05:00:00Z",3,-0.753406950551476,0,0,0
"6",71,1688649," open",0,9," 2016-04-07T03:36:54Z"," 2016-04-07T18:13:52Z"," None"," 2016-04-08T04:00:00Z",9,-0.266590151733599,0,0,0
"7",72,1688666," closed",0,4," 2016-04-07T03:53:24Z"," 2016-04-07T18:30:27Z"," 2016-04-07T18:30:27Z"," 2016-04-08T04:00:00Z",4,-0.672270817415163,0,0,0
