"","X","milestone","state","open.issues","closed.issues","created.time","updated.time","closed.time","due.time","totalIssues","issueZscore","hasOpenIssueAMC","abnormalIssueNumber","noDueTime"
"1",59,1554654," closed",0,1," 2016-02-01T04:44:53Z"," 2016-02-18T23:58:05Z"," 2016-02-18T23:58:05Z"," None",1,-0.166580998880659,0,0,1
"2",60,1591971," closed",0,0," 2016-02-18T23:59:47Z"," 2016-02-19T00:00:33Z"," 2016-02-19T00:00:33Z"," 2016-02-05T05:00:00Z",0,-0.555269996268863,0,0,0
"3",61,1592124," closed",0,7," 2016-02-19T02:19:53Z"," 2016-04-01T03:16:42Z"," 2016-03-22T22:57:22Z"," 2016-03-01T05:00:00Z",7,2.16555298544857,0,1,0
"4",62,1660971," closed",0,0," 2016-03-22T22:55:21Z"," 2016-04-07T00:15:20Z"," 2016-04-07T00:15:20Z"," 2016-03-27T04:00:00Z",0,-0.555269996268863,0,0,0
"5",63,1686311," closed",0,0," 2016-04-06T02:54:26Z"," 2016-04-07T00:15:16Z"," 2016-04-07T00:15:16Z"," 2016-04-07T04:00:00Z",0,-0.555269996268863,0,0,0
"6",64,1660970," open",0,0," 2016-03-22T22:54:54Z"," 2016-04-07T00:15:30Z"," None"," 2016-04-07T04:00:00Z",0,-0.555269996268863,0,0,0
"7",65,1677362," closed",0,2," 2016-04-01T03:10:20Z"," 2016-04-07T02:43:21Z"," 2016-04-07T00:15:11Z"," 2016-04-07T04:00:00Z",2,0.222107998507545,0,0,0
