"","milestone","state","open issues","closed issues","created time","updated time","closed time","due time"
"124",1609039," open",0,3," 2016-02-27T00:09:20Z"," 2016-03-02T17:38:38Z"," None"," None"
"125",1599066," closed",0,1," 2016-02-23T06:50:18Z"," 2016-02-23T06:55:26Z"," 2016-02-23T06:55:26Z"," None"
"126",1553325," closed",1,0," 2016-01-31T02:53:04Z"," 2016-02-02T04:50:59Z"," 2016-02-02T04:50:59Z"," None"
"127",1592217," closed",0,2," 2016-02-19T04:33:53Z"," 2016-03-04T16:53:03Z"," 2016-02-23T06:47:30Z"," 2016-02-19T05:00:00Z"
"128",1592241," closed",0,0," 2016-02-19T04:59:04Z"," 2016-02-23T06:47:36Z"," 2016-02-23T06:47:36Z"," 2016-02-20T05:00:00Z"
"129",1592276," closed",0,0," 2016-02-19T05:43:38Z"," 2016-02-23T06:47:38Z"," 2016-02-23T06:47:38Z"," 2016-02-20T05:00:00Z"
"130",1595216," closed",0,1," 2016-02-21T03:11:56Z"," 2016-02-23T06:47:42Z"," 2016-02-23T06:47:42Z"," 2016-02-21T05:00:00Z"
"131",1592277," closed",0,0," 2016-02-19T05:43:56Z"," 2016-02-23T06:47:49Z"," 2016-02-23T06:47:49Z"," 2016-02-21T05:00:00Z"
"132",1599338," closed",0,0," 2016-02-23T10:26:16Z"," 2016-02-24T20:57:58Z"," 2016-02-24T20:57:58Z"," 2016-02-24T05:00:00Z"
"133",1599561," closed",0,4," 2016-02-23T12:46:08Z"," 2016-02-24T21:03:09Z"," 2016-02-24T21:03:09Z"," 2016-02-25T05:00:00Z"
"134",1603855," open",0,3," 2016-02-24T20:56:36Z"," 2016-03-04T16:51:41Z"," None"," 2016-02-28T05:00:00Z"
"135",1603879," open",0,1," 2016-02-24T21:02:34Z"," 2016-03-02T17:42:15Z"," None"," 2016-02-28T05:00:00Z"
"136",1599084," open",1,5," 2016-02-23T07:12:14Z"," 2016-02-24T21:04:11Z"," None"," 2016-02-28T05:00:00Z"
"137",1603874," open",0,0," 2016-02-24T21:00:29Z"," 2016-02-24T21:00:29Z"," None"," 2016-03-01T05:00:00Z"
"138",1592278," open",0,1," 2016-02-19T05:44:23Z"," 2016-02-24T21:03:39Z"," None"," 2016-03-01T05:00:00Z"
"139",1621564," open",0,1," 2016-03-04T04:41:59Z"," 2016-03-04T05:16:18Z"," None"," 2016-03-04T05:00:00Z"
