"","milestone","state","open issues","closed issues","created time","updated time","closed time","due time"
"140",1545076," closed",0,2," 2016-01-26T21:15:51Z"," 2016-02-20T22:41:07Z"," 2016-02-20T22:31:10Z"," 2016-02-01T05:00:00Z"
"141",1595111," closed",0,7," 2016-02-20T23:11:19Z"," 2016-03-01T00:58:43Z"," 2016-02-24T00:01:56Z"," 2016-02-21T05:00:00Z"
"142",1595112," closed",0,4," 2016-02-20T23:14:20Z"," 2016-03-02T04:35:31Z"," 2016-03-02T04:35:31Z"," 2016-02-23T05:00:00Z"
"143",1595113," closed",0,3," 2016-02-20T23:14:41Z"," 2016-03-02T04:35:33Z"," 2016-03-02T04:35:33Z"," 2016-02-28T05:00:00Z"
"144",1595090," closed",0,7," 2016-02-20T22:36:56Z"," 2016-03-02T04:51:56Z"," 2016-03-02T04:51:43Z"," 2016-03-01T05:00:00Z"
"145",1688681," closed",0,3," 2016-04-07T04:06:58Z"," 2016-04-08T05:38:49Z"," 2016-04-08T05:38:49Z"," 2016-04-07T04:00:00Z"
"146",1688682," closed",0,4," 2016-04-07T04:07:06Z"," 2016-04-08T05:38:51Z"," 2016-04-08T05:38:51Z"," 2016-04-07T04:00:00Z"
