"","milestone","state","open issues","closed issues","created time","updated time","closed time","due time"
"18",1569204," closed",0,8," 2016-02-08T00:59:41Z"," 2016-02-29T01:07:27Z"," 2016-02-29T01:07:27Z"," None"
"19",1607423," closed",0,1," 2016-02-26T05:21:53Z"," 2016-02-29T01:07:30Z"," 2016-02-29T01:07:30Z"," None"
"20",1598816," closed",0,0," 2016-02-23T01:43:33Z"," 2016-02-29T01:07:38Z"," 2016-02-29T01:07:38Z"," 2016-02-28T05:00:00Z"
"21",1569209," closed",0,3," 2016-02-08T01:08:03Z"," 2016-02-29T01:07:41Z"," 2016-02-29T01:07:41Z"," 2016-02-28T05:00:00Z"
"22",1569212," closed",0,3," 2016-02-08T01:09:22Z"," 2016-02-29T01:07:42Z"," 2016-02-29T01:07:42Z"," 2016-02-29T05:00:00Z"
"23",1610699," closed",0,4," 2016-02-29T01:06:31Z"," 2016-04-08T04:02:05Z"," 2016-04-08T04:02:05Z"," 2016-03-01T05:00:00Z"
"24",1610704," closed",0,3," 2016-02-29T01:07:59Z"," 2016-04-08T04:02:07Z"," 2016-04-08T04:02:07Z"," 2016-03-01T05:00:00Z"
"25",1610705," closed",0,0," 2016-02-29T01:08:19Z"," 2016-04-08T04:02:06Z"," 2016-04-08T04:02:06Z"," 2016-03-01T05:00:00Z"
"26",1708209," open",3,0," 2016-04-15T05:11:37Z"," 2016-04-15T05:17:29Z"," None"," 2016-04-18T04:00:00Z"
"27",1708218," open",0,0," 2016-04-15T05:16:32Z"," 2016-04-15T05:17:39Z"," None"," 2016-04-24T04:00:00Z"
"28",1708219," open",0,0," 2016-04-15T05:16:39Z"," 2016-04-15T05:17:34Z"," None"," 2016-04-28T04:00:00Z"
"29",1708220," open",0,0," 2016-04-15T05:16:44Z"," 2016-04-15T05:17:07Z"," None"," 2016-05-01T04:00:00Z"
