"","milestone","state","open issues","closed issues","created time","updated time","closed time","due time"
"101",1588944," closed",0,8," 2016-02-17T17:01:50Z"," 2016-04-24T00:48:23Z"," 2016-04-24T00:48:23Z"," None"
"102",1588946," closed",0,8," 2016-02-17T17:02:04Z"," 2016-04-24T00:48:26Z"," 2016-04-24T00:48:26Z"," None"
"103",1558869," closed",0,9," 2016-02-02T15:06:17Z"," 2016-04-24T01:08:17Z"," 2016-04-24T01:08:17Z"," 2016-02-01T05:00:00Z"
"104",1588943," closed",0,0," 2016-02-17T17:01:22Z"," 2016-04-24T01:08:19Z"," 2016-04-24T01:08:19Z"," 2016-02-25T05:00:00Z"
"105",1558872," closed",0,17," 2016-02-02T15:07:25Z"," 2016-04-24T01:08:22Z"," 2016-04-24T01:08:22Z"," 2016-03-01T05:00:00Z"
"106",1558875," closed",0,25," 2016-02-02T15:07:32Z"," 2016-04-24T01:08:24Z"," 2016-04-24T01:08:24Z"," 2016-04-01T04:00:00Z"
"107",1558878," open",1,17," 2016-02-02T15:07:45Z"," 2016-04-26T17:38:54Z"," None"," 2016-05-01T04:00:00Z"
