"milestone","state","open.issues","closed.issues","created.time","updated.time","closed.time","due.time"
1539515," closed",0,4," 2016-01-24T19:39:30Z"," 2016-02-16T14:45:57Z"," 2016-02-01T22:12:47Z"," 2016-02-01T05:00:00Z"
1539516," closed",3,10," 2016-01-24T19:40:01Z"," 2016-04-18T21:41:35Z"," 2016-03-15T03:05:16Z"," 2016-03-01T05:00:00Z"
1539517," open",0,9," 2016-01-24T19:40:42Z"," 2016-04-19T02:37:34Z"," None"," 2016-04-07T04:00:00Z"
1539518," open",0,0," 2016-01-24T19:41:30Z"," 2016-01-24T19:41:30Z"," None"," 2016-05-01T04:00:00Z"
