"","milestone","state","open issues","closed issues","created time","updated time","closed time","due time"
"83",1507858," closed",0,1," 2016-01-14T21:50:04Z"," 2016-01-23T22:04:34Z"," 2016-01-23T22:04:34Z"," None"
"84",1532571," closed",0,7," 2016-01-22T00:55:43Z"," 2016-02-02T22:35:36Z"," 2016-02-02T22:35:36Z"," 2016-02-01T05:00:00Z"
"85",1581214," closed",0,6," 2016-02-13T16:14:07Z"," 2016-02-21T20:22:18Z"," 2016-02-21T20:22:18Z"," 2016-02-20T05:00:00Z"
"86",1595821," closed",0,15," 2016-02-21T20:20:43Z"," 2016-02-26T07:19:32Z"," 2016-02-26T07:19:32Z"," 2016-02-25T05:00:00Z"
"87",1606961," closed",0,8," 2016-02-25T23:47:42Z"," 2016-03-18T20:15:02Z"," 2016-03-18T20:15:02Z"," 2016-02-29T05:00:00Z"
"88",1532770," closed",0,19," 2016-01-22T02:57:51Z"," 2016-03-18T20:14:46Z"," 2016-03-18T20:14:46Z"," 2016-03-01T05:00:00Z"
"89",1613879," closed",0,4," 2016-03-01T02:37:11Z"," 2016-03-25T18:57:57Z"," 2016-03-25T18:57:57Z"," 2016-03-20T04:00:00Z"
"90",1654326," closed",0,7," 2016-03-18T20:31:50Z"," 2016-04-01T15:28:06Z"," 2016-04-01T15:28:06Z"," 2016-03-27T04:00:00Z"
"91",1532771," closed",0,17," 2016-01-22T02:58:11Z"," 2016-04-01T15:29:42Z"," 2016-04-01T15:29:42Z"," 2016-04-01T04:00:00Z"
