"","milestone","state","open issues","closed issues","created time","updated time","closed time","due time"
"92",1564280," closed",0,22," 2016-02-04T19:40:41Z"," 2016-03-02T03:45:27Z"," 2016-03-02T03:45:27Z"," None"
"93",1513803," closed",0,5," 2016-01-18T23:03:50Z"," 2016-02-04T19:41:45Z"," 2016-02-04T19:41:45Z"," 2016-02-01T05:00:00Z"
"94",1594446," closed",0,5," 2016-02-20T05:31:38Z"," 2016-02-29T07:58:14Z"," 2016-02-29T07:56:55Z"," 2016-02-28T05:00:00Z"
"95",1611066," closed",0,3," 2016-02-29T07:58:53Z"," 2016-03-02T03:45:24Z"," 2016-03-02T03:45:24Z"," 2016-03-01T05:00:00Z"
"96",1611076," closed",0,3," 2016-02-29T08:05:36Z"," 2016-04-03T19:46:22Z"," 2016-04-03T19:46:22Z"," 2016-03-10T05:00:00Z"
"97",1611075," closed",0,2," 2016-02-29T08:04:31Z"," 2016-04-03T19:45:09Z"," 2016-04-03T19:45:09Z"," 2016-04-03T04:00:00Z"
"98",1611081," closed",0,0," 2016-02-29T08:08:42Z"," 2016-04-05T18:15:52Z"," 2016-04-05T18:15:52Z"," 2016-04-04T04:00:00Z"
"99",1680494," closed",0,5," 2016-04-03T19:46:19Z"," 2016-04-08T02:36:58Z"," 2016-04-08T02:36:58Z"," 2016-04-07T04:00:00Z"
"100",1564281," closed",0,5," 2016-02-04T19:40:46Z"," 2016-04-08T02:37:12Z"," 2016-04-08T02:37:12Z"," 2016-04-07T04:00:00Z"
